
duplicated: 213644,download: 124633 , rate: 1.714185 
duplicated: 337075,download: 192502 , rate: 1.751021 
duplicated: 338062,download: 192998 , rate: 1.751635 
duplicated: 338873,download: 193465 , rate: 1.751598 
duplicated: 339680,download: 193959 , rate: 1.751298 
duplicated: 340583,download: 194427 , rate: 1.751727 
duplicated: 341475,download: 194923 , rate: 1.751846 
duplicated: 342280,download: 195389 , rate: 1.751787 
duplicated: 343180,download: 195885 , rate: 1.751946 
duplicated: 344079,download: 196356 , rate: 1.752322 
duplicated: 344978,download: 196848 , rate: 1.752510 
duplicated: 345701,download: 197309 , rate: 1.752079 
duplicated: 346603,download: 197801 , rate: 1.752281 
duplicated: 347408,download: 198272 , rate: 1.752179 
duplicated: 348309,download: 198764 , rate: 1.752375 
duplicated: 349120,download: 199227 , rate: 1.752373 
duplicated: 349926,download: 199720 , rate: 1.752083 
duplicated: 350735,download: 200184 , rate: 1.752063 
duplicated: 351635,download: 200674 , rate: 1.752270 
duplicated: 352528,download: 201136 , rate: 1.752685 
duplicated: 353336,download: 201628 , rate: 1.752415 
duplicated: 354231,download: 202097 , rate: 1.752777 
duplicated: 355124,download: 202581 , rate: 1.752998 
duplicated: 355932,download: 203053 , rate: 1.752902 
duplicated: 356832,download: 203543 , rate: 1.753104 
duplicated: 357734,download: 204004 , rate: 1.753564 
duplicated: 358542,download: 204488 , rate: 1.753365 
duplicated: 359443,download: 204984 , rate: 1.753517 
duplicated: 360252,download: 205450 , rate: 1.753478 
duplicated: 361146,download: 205942 , rate: 1.753630 
duplicated: 361953,download: 206413 , rate: 1.753538 
duplicated: 362849,download: 206907 , rate: 1.753682 
duplicated: 363659,download: 207377 , rate: 1.753613 
duplicated: 364464,download: 207866 , rate: 1.753360 
duplicated: 367749,download: 208337 , rate: 1.765164 
duplicated: 370885,download: 208829 , rate: 1.776022 
duplicated: 371694,download: 209294 , rate: 1.775942 
duplicated: 372513,download: 209789 , rate: 1.775656 
duplicated: 373320,download: 210258 , rate: 1.775533 
duplicated: 374218,download: 210747 , rate: 1.775674 
duplicated: 375030,download: 211210 , rate: 1.775626 
duplicated: 375840,download: 211705 , rate: 1.775301 
duplicated: 376652,download: 212177 , rate: 1.775178 
duplicated: 377548,download: 212666 , rate: 1.775310 
duplicated: 378353,download: 213136 , rate: 1.775172 
duplicated: 379247,download: 213629 , rate: 1.775260 
duplicated: 380062,download: 214091 , rate: 1.775236 
duplicated: 380963,download: 214582 , rate: 1.775373 
duplicated: 381772,download: 215053 , rate: 1.775246 
duplicated: 382671,download: 215551 , rate: 1.775315 
duplicated: 383487,download: 216016 , rate: 1.775271 
duplicated: 384298,download: 216505 , rate: 1.775008 
duplicated: 385105,download: 216995 , rate: 1.774718 
duplicated: 386005,download: 217468 , rate: 1.774997 
duplicated: 386817,download: 217958 , rate: 1.774732 
duplicated: 387721,download: 218421 , rate: 1.775109 
duplicated: 388531,download: 218913 , rate: 1.774819 
duplicated: 389431,download: 219382 , rate: 1.775127 
duplicated: 390325,download: 219875 , rate: 1.775213 
duplicated: 391135,download: 220341 , rate: 1.775135 
duplicated: 392028,download: 220831 , rate: 1.775240 
duplicated: 392840,download: 221297 , rate: 1.775171 
duplicated: 393744,download: 221794 , rate: 1.775269 
duplicated: 394554,download: 222259 , rate: 1.775199 
duplicated: 395457,download: 222749 , rate: 1.775348 
duplicated: 396351,download: 223213 , rate: 1.775663 
duplicated: 397543,download: 223704 , rate: 1.777094 
duplicated: 398351,download: 224167 , rate: 1.777028 
duplicated: 399163,download: 224655 , rate: 1.776782 
duplicated: 399977,download: 225121 , rate: 1.776720 
duplicated: 400877,download: 225611 , rate: 1.776850 
duplicated: 401686,download: 226077 , rate: 1.776766 
duplicated: 402588,download: 226564 , rate: 1.776928 
duplicated: 403398,download: 227036 , rate: 1.776802 
duplicated: 404212,download: 227525 , rate: 1.776561 
duplicated: 405023,download: 227999 , rate: 1.776424 
duplicated: 406013,download: 228484 , rate: 1.776987 
duplicated: 406822,download: 228979 , rate: 1.776678 
duplicated: 407629,download: 229440 , rate: 1.776626 
duplicated: 408529,download: 229934 , rate: 1.776723 
duplicated: 409422,download: 230406 , rate: 1.776959 
duplicated: 410233,download: 230900 , rate: 1.776670 
duplicated: 411130,download: 231374 , rate: 1.776907 
duplicated: 412036,download: 231863 , rate: 1.777067 
duplicated: 412755,download: 232328 , rate: 1.776605 
duplicated: 413743,download: 232819 , rate: 1.777102 
duplicated: 414810,download: 233289 , rate: 1.778095 
duplicated: 415620,download: 233776 , rate: 1.777856 
duplicated: 416518,download: 234249 , rate: 1.778099 
duplicated: 417329,download: 234737 , rate: 1.777858 
duplicated: 418223,download: 235198 , rate: 1.778174 
duplicated: 419033,download: 235681 , rate: 1.777967 
duplicated: 419934,download: 236145 , rate: 1.778289 
duplicated: 420831,download: 236635 , rate: 1.778397 
duplicated: 421639,download: 237104 , rate: 1.778287 
duplicated: 422534,download: 237598 , rate: 1.778357 
duplicated: 423429,download: 238059 , rate: 1.778673 
duplicated: 424242,download: 238548 , rate: 1.778435 
duplicated: 425138,download: 239017 , rate: 1.778694 
duplicated: 425950,download: 239504 , rate: 1.778467 
duplicated: 426938,download: 239997 , rate: 1.778931 
duplicated: 427746,download: 240462 , rate: 1.778851 
duplicated: 428649,download: 240956 , rate: 1.778951 
duplicated: 429458,download: 241424 , rate: 1.778854 
duplicated: 430445,download: 241915 , rate: 1.779323 
duplicated: 431255,download: 242380 , rate: 1.779252 
duplicated: 432153,download: 242870 , rate: 1.779359 
duplicated: 432965,download: 243333 , rate: 1.779311 
duplicated: 433773,download: 243825 , rate: 1.779034 
duplicated: 434580,download: 244290 , rate: 1.778951 
duplicated: 435481,download: 244775 , rate: 1.779107 
duplicated: 436377,download: 245241 , rate: 1.779380 
duplicated: 437278,download: 245733 , rate: 1.779484 
duplicated: 438000,download: 246203 , rate: 1.779020 
duplicated: 438896,download: 246694 , rate: 1.779111 
duplicated: 439798,download: 247158 , rate: 1.779420 
duplicated: 440614,download: 247648 , rate: 1.779195 
duplicated: 441425,download: 248118 , rate: 1.779093 
duplicated: 442325,download: 248608 , rate: 1.779207 
duplicated: 443138,download: 249075 , rate: 1.779135 
duplicated: 444126,download: 249567 , rate: 1.779586 
duplicated: 444941,download: 250035 , rate: 1.779515 
duplicated: 445930,download: 250519 , rate: 1.780025 
duplicated: 446741,download: 250999 , rate: 1.779852 
duplicated: 447645,download: 251473 , rate: 1.780092 
duplicated: 448544,download: 251960 , rate: 1.780219 
duplicated: 449442,download: 252423 , rate: 1.780511 
duplicated: 450247,download: 252910 , rate: 1.780266 
duplicated: 451059,download: 253373 , rate: 1.780217 
duplicated: 451958,download: 253864 , rate: 1.780315 
duplicated: 452855,download: 254334 , rate: 1.780552 
duplicated: 453752,download: 254816 , rate: 1.780705 
duplicated: 454649,download: 255279 , rate: 1.780989 
duplicated: 455545,download: 255773 , rate: 1.781052 
duplicated: 456450,download: 256241 , rate: 1.781331 
duplicated: 457349,download: 256730 , rate: 1.781440 
duplicated: 458154,download: 257203 , rate: 1.781293 
duplicated: 459052,download: 257702 , rate: 1.781329 
duplicated: 459864,download: 258167 , rate: 1.781266 
duplicated: 460771,download: 258658 , rate: 1.781391 
duplicated: 461582,download: 259126 , rate: 1.781303 
duplicated: 462485,download: 259619 , rate: 1.781399 
duplicated: 463388,download: 260091 , rate: 1.781638 
duplicated: 464292,download: 260584 , rate: 1.781736 
duplicated: 465100,download: 261051 , rate: 1.781644 
duplicated: 466001,download: 261545 , rate: 1.781724 
duplicated: 466812,download: 262017 , rate: 1.781610 
duplicated: 467713,download: 262513 , rate: 1.781676 
duplicated: 468613,download: 262998 , rate: 1.781812 
duplicated: 469514,download: 263466 , rate: 1.782067 
duplicated: 470415,download: 263953 , rate: 1.782192 
duplicated: 471318,download: 264421 , rate: 1.782453 
duplicated: 472304,download: 264914 , rate: 1.782858 
duplicated: 473203,download: 265386 , rate: 1.783074 
duplicated: 474012,download: 265874 , rate: 1.782845 
duplicated: 474911,download: 266340 , rate: 1.783101 
duplicated: 475811,download: 266827 , rate: 1.783219 
duplicated: 476618,download: 267295 , rate: 1.783116 
duplicated: 478370,download: 267788 , rate: 1.786376 
duplicated: 479178,download: 268253 , rate: 1.786291 
duplicated: 480072,download: 268746 , rate: 1.786341 
duplicated: 481066,download: 269215 , rate: 1.786921 
duplicated: 481962,download: 269703 , rate: 1.787010 
duplicated: 482856,download: 270169 , rate: 1.787237 
duplicated: 483758,download: 270659 , rate: 1.787334 
duplicated: 484655,download: 271129 , rate: 1.787544 
duplicated: 485552,download: 271626 , rate: 1.787576 
duplicated: 486450,download: 272099 , rate: 1.787768 
duplicated: 487345,download: 272594 , rate: 1.787805 
duplicated: 488162,download: 273068 , rate: 1.787694 
duplicated: 489063,download: 273557 , rate: 1.787792 
duplicated: 490052,download: 274028 , rate: 1.788328 
duplicated: 490950,download: 274524 , rate: 1.788368 
duplicated: 491840,download: 274999 , rate: 1.788516 
duplicated: 492644,download: 275483 , rate: 1.788292 
duplicated: 493545,download: 275971 , rate: 1.788394 
duplicated: 494449,download: 276438 , rate: 1.788643 
duplicated: 495441,download: 276937 , rate: 1.789003 
duplicated: 496343,download: 277409 , rate: 1.789210 
duplicated: 497325,download: 277905 , rate: 1.789550 
duplicated: 498137,download: 278370 , rate: 1.789478 
duplicated: 499040,download: 278860 , rate: 1.789572 
duplicated: 500022,download: 279324 , rate: 1.790115 
duplicated: 500920,download: 279812 , rate: 1.790202 
duplicated: 501817,download: 280281 , rate: 1.790407 
duplicated: 502723,download: 280773 , rate: 1.790496 
duplicated: 503534,download: 281231 , rate: 1.790464 
duplicated: 504611,download: 281729 , rate: 1.791122 
duplicated: 505420,download: 282199 , rate: 1.791006 
duplicated: 506404,download: 282688 , rate: 1.791388 
duplicated: 507213,download: 283155 , rate: 1.791291 
duplicated: 508113,download: 283646 , rate: 1.791363 
duplicated: 509010,download: 284112 , rate: 1.791582 
duplicated: 509999,download: 284610 , rate: 1.791922 
duplicated: 510900,download: 285073 , rate: 1.792173 
duplicated: 511802,download: 285563 , rate: 1.792256 
duplicated: 512694,download: 286029 , rate: 1.792455 
duplicated: 513498,download: 286524 , rate: 1.792164 
duplicated: 514399,download: 286999 , rate: 1.792337 
duplicated: 515209,download: 287474 , rate: 1.792193 
duplicated: 516200,download: 287964 , rate: 1.792585 
duplicated: 517012,download: 288433 , rate: 1.792486 
duplicated: 517995,download: 288924 , rate: 1.792842 
duplicated: 518803,download: 289389 , rate: 1.792753 
duplicated: 519797,download: 289880 , rate: 1.793145 
duplicated: 520692,download: 290346 , rate: 1.793350 
duplicated: 521589,download: 290838 , rate: 1.793400 
duplicated: 522485,download: 291308 , rate: 1.793583 
duplicated: 523298,download: 291800 , rate: 1.793345 
duplicated: 524195,download: 292269 , rate: 1.793536 
duplicated: 525184,download: 292753 , rate: 1.793949 
duplicated: 526076,download: 293221 , rate: 1.794128 
duplicated: 526884,download: 293713 , rate: 1.793874 
duplicated: 527778,download: 294179 , rate: 1.794071 
duplicated: 528681,download: 294672 , rate: 1.794134 
duplicated: 529585,download: 295141 , rate: 1.794346 
duplicated: 530568,download: 295632 , rate: 1.794691 
duplicated: 531371,download: 296104 , rate: 1.794542 
duplicated: 532357,download: 296598 , rate: 1.794877 
duplicated: 533254,download: 297066 , rate: 1.795069 
duplicated: 534155,download: 297556 , rate: 1.795141 
duplicated: 535134,download: 298021 , rate: 1.795625 
duplicated: 536036,download: 298518 , rate: 1.795657 
duplicated: 536936,download: 298999 , rate: 1.795779 
duplicated: 537835,download: 299482 , rate: 1.795884 
duplicated: 538828,download: 299967 , rate: 1.796291 
duplicated: 539640,download: 300441 , rate: 1.796160 
duplicated: 540527,download: 300925 , rate: 1.796218 
duplicated: 541423,download: 301393 , rate: 1.796402 
duplicated: 542309,download: 301888 , rate: 1.796391 
duplicated: 543210,download: 302358 , rate: 1.796579 
duplicated: 544110,download: 302849 , rate: 1.796638 
duplicated: 545006,download: 303310 , rate: 1.796861 
duplicated: 545901,download: 303802 , rate: 1.796897 
duplicated: 546798,download: 304273 , rate: 1.797064 
duplicated: 547787,download: 304772 , rate: 1.797367 
duplicated: 548685,download: 305244 , rate: 1.797529 
duplicated: 549576,download: 305734 , rate: 1.797563 
duplicated: 550474,download: 306205 , rate: 1.797730 
duplicated: 551375,download: 306696 , rate: 1.797790 
duplicated: 552273,download: 307162 , rate: 1.797986 
duplicated: 553253,download: 307660 , rate: 1.798261 
duplicated: 554239,download: 308132 , rate: 1.798706 
duplicated: 555136,download: 308623 , rate: 1.798751 
duplicated: 556037,download: 309096 , rate: 1.798914 
duplicated: 556846,download: 309590 , rate: 1.798656 
duplicated: 557831,download: 310057 , rate: 1.799124 
duplicated: 558820,download: 310559 , rate: 1.799400 
duplicated: 559625,download: 311034 , rate: 1.799241 
duplicated: 560524,download: 311528 , rate: 1.799273 
duplicated: 561520,download: 311999 , rate: 1.799749 
duplicated: 562427,download: 312481 , rate: 1.799876 
duplicated: 563419,download: 312968 , rate: 1.800245 
duplicated: 564318,download: 313441 , rate: 1.800396 
duplicated: 565222,download: 313931 , rate: 1.800466 
duplicated: 566125,download: 314405 , rate: 1.800623 
duplicated: 567292,download: 314888 , rate: 1.801568 
duplicated: 568282,download: 315357 , rate: 1.802028 
duplicated: 569176,download: 315844 , rate: 1.802080 
duplicated: 570073,download: 316315 , rate: 1.802232 
duplicated: 571147,download: 316809 , rate: 1.802812 
duplicated: 572049,download: 317278 , rate: 1.802990 
duplicated: 572948,download: 317771 , rate: 1.803022 
duplicated: 573848,download: 318244 , rate: 1.803170 
duplicated: 574837,download: 318731 , rate: 1.803518 
duplicated: 575820,download: 319198 , rate: 1.803959 
duplicated: 576718,download: 319685 , rate: 1.804020 
duplicated: 577619,download: 320153 , rate: 1.804197 
duplicated: 578611,download: 320646 , rate: 1.804517 
duplicated: 579509,download: 321116 , rate: 1.804672 
duplicated: 580589,download: 321596 , rate: 1.805337 
duplicated: 581488,download: 322061 , rate: 1.805521 
duplicated: 582389,download: 322549 , rate: 1.805583 
duplicated: 583283,download: 323015 , rate: 1.805746 
duplicated: 584267,download: 323498 , rate: 1.806092 
duplicated: 585163,download: 323989 , rate: 1.806120 
duplicated: 586065,download: 324454 , rate: 1.806312 
duplicated: 586964,download: 324948 , rate: 1.806332 
duplicated: 587860,download: 325413 , rate: 1.806504 
duplicated: 588847,download: 325911 , rate: 1.806772 
duplicated: 589751,download: 326388 , rate: 1.806902 
duplicated: 590650,download: 326878 , rate: 1.806943 
duplicated: 591548,download: 327339 , rate: 1.807142 
duplicated: 592447,download: 327833 , rate: 1.807161 
duplicated: 593347,download: 328297 , rate: 1.807348 
duplicated: 594330,download: 328789 , rate: 1.807633 
duplicated: 595146,download: 329256 , rate: 1.807548 
duplicated: 596129,download: 329744 , rate: 1.807854 
duplicated: 597031,download: 330212 , rate: 1.808023 
duplicated: 597926,download: 330698 , rate: 1.808073 
duplicated: 598819,download: 331171 , rate: 1.808187 
duplicated: 599815,download: 331660 , rate: 1.808524 
duplicated: 600712,download: 332125 , rate: 1.808693 
duplicated: 601707,download: 332616 , rate: 1.809014 
duplicated: 602695,download: 333087 , rate: 1.809422 
duplicated: 603594,download: 333576 , rate: 1.809465 
duplicated: 604403,download: 334042 , rate: 1.809362 
duplicated: 605391,download: 334533 , rate: 1.809660 
duplicated: 606381,download: 335004 , rate: 1.810071 
duplicated: 607291,download: 335498 , rate: 1.810118 
duplicated: 608283,download: 335989 , rate: 1.810425 
duplicated: 609186,download: 336458 , rate: 1.810586 
duplicated: 610266,download: 336952 , rate: 1.811136 
duplicated: 611158,download: 337421 , rate: 1.811262 
duplicated: 612144,download: 337918 , rate: 1.811516 
duplicated: 613051,download: 338385 , rate: 1.811697 
duplicated: 613862,download: 338880 , rate: 1.811444 
duplicated: 614939,download: 339350 , rate: 1.812108 
duplicated: 615933,download: 339840 , rate: 1.812421 
duplicated: 616741,download: 340308 , rate: 1.812302 
duplicated: 617732,download: 340800 , rate: 1.812594 
duplicated: 618719,download: 341266 , rate: 1.813011 
duplicated: 619710,download: 341758 , rate: 1.813301 
duplicated: 620521,download: 342224 , rate: 1.813201 
duplicated: 621508,download: 342724 , rate: 1.813436 
duplicated: 622494,download: 343189 , rate: 1.813852 
duplicated: 623476,download: 343677 , rate: 1.814134 
duplicated: 624461,download: 344132 , rate: 1.814597 
duplicated: 625446,download: 344627 , rate: 1.814849 
duplicated: 626428,download: 345088 , rate: 1.815270 
duplicated: 627326,download: 345582 , rate: 1.815274 
duplicated: 628322,download: 346046 , rate: 1.815718 
duplicated: 629224,download: 346530 , rate: 1.815785 
duplicated: 630118,download: 346999 , rate: 1.815907 
duplicated: 631194,download: 347490 , rate: 1.816438 
duplicated: 632178,download: 347979 , rate: 1.816713 
duplicated: 633080,download: 348448 , rate: 1.816856 
duplicated: 634076,download: 348946 , rate: 1.817118 
duplicated: 635066,download: 349412 , rate: 1.817528 
duplicated: 636060,download: 349905 , rate: 1.817808 
duplicated: 636962,download: 350374 , rate: 1.817949 
duplicated: 637861,download: 350873 , rate: 1.817926 
duplicated: 638855,download: 351338 , rate: 1.818349 
duplicated: 639929,download: 351836 , rate: 1.818828 
duplicated: 640828,download: 352308 , rate: 1.818943 
duplicated: 641818,download: 352804 , rate: 1.819191 
duplicated: 642715,download: 353267 , rate: 1.819346 
duplicated: 643704,download: 353758 , rate: 1.819617 
duplicated: 644606,download: 354218 , rate: 1.819800 
duplicated: 645685,download: 354713 , rate: 1.820303 
duplicated: 646584,download: 355183 , rate: 1.820425 
duplicated: 647482,download: 355678 , rate: 1.820416 
duplicated: 648470,download: 356146 , rate: 1.820798 
duplicated: 649638,download: 356641 , rate: 1.821546 
duplicated: 650625,download: 357105 , rate: 1.821943 
duplicated: 651523,download: 357600 , rate: 1.821932 
duplicated: 652512,download: 358076 , rate: 1.822272 
duplicated: 653502,download: 358572 , rate: 1.822513 
duplicated: 654495,download: 359041 , rate: 1.822898 
duplicated: 655486,download: 359531 , rate: 1.823170 
duplicated: 656564,download: 360004 , rate: 1.823769 
duplicated: 657729,download: 360502 , rate: 1.824481 
duplicated: 658625,download: 360998 , rate: 1.824456 
duplicated: 659613,download: 361467 , rate: 1.824822 
duplicated: 660600,download: 361962 , rate: 1.825053 
duplicated: 661588,download: 362429 , rate: 1.825428 
duplicated: 662487,download: 362923 , rate: 1.825420 
duplicated: 663482,download: 363386 , rate: 1.825833 
duplicated: 664461,download: 363877 , rate: 1.826059 
duplicated: 665273,download: 364343 , rate: 1.825952 
duplicated: 666347,download: 364835 , rate: 1.826434 
duplicated: 667337,download: 365303 , rate: 1.826804 
duplicated: 668327,download: 365794 , rate: 1.827058 
duplicated: 669240,download: 366258 , rate: 1.827237 
duplicated: 670229,download: 366747 , rate: 1.827497 
duplicated: 671126,download: 367210 , rate: 1.827635 
duplicated: 672205,download: 367705 , rate: 1.828109 
duplicated: 673105,download: 368176 , rate: 1.828215 
duplicated: 674183,download: 368667 , rate: 1.828704 
duplicated: 675169,download: 369127 , rate: 1.829097 
duplicated: 676250,download: 369621 , rate: 1.829577 
duplicated: 677238,download: 370093 , rate: 1.829913 
duplicated: 678231,download: 370579 , rate: 1.830193 
duplicated: 679131,download: 371048 , rate: 1.830305 
duplicated: 680122,download: 371538 , rate: 1.830558 
duplicated: 681016,download: 372004 , rate: 1.830668 
duplicated: 682101,download: 372495 , rate: 1.831168 
duplicated: 683088,download: 372991 , rate: 1.831379 
duplicated: 684075,download: 373462 , rate: 1.831712 
duplicated: 685062,download: 373950 , rate: 1.831961 
duplicated: 685963,download: 374412 , rate: 1.832107 
duplicated: 687043,download: 374913 , rate: 1.832540 
duplicated: 687941,download: 375379 , rate: 1.832657 
duplicated: 688933,download: 375873 , rate: 1.832888 
duplicated: 689835,download: 376336 , rate: 1.833030 
duplicated: 690824,download: 376832 , rate: 1.833241 
duplicated: 691727,download: 377294 , rate: 1.833390 
duplicated: 692624,download: 377784 , rate: 1.833386 
duplicated: 693611,download: 378256 , rate: 1.833708 
duplicated: 694691,download: 378752 , rate: 1.834158 
duplicated: 695681,download: 379227 , rate: 1.834471 
duplicated: 696751,download: 379720 , rate: 1.834907 
duplicated: 697735,download: 380188 , rate: 1.835237 
duplicated: 698812,download: 380684 , rate: 1.835675 
